0.000000	0.000000
0.157080	0.156434
0.314159	0.309017
0.471239	0.453990
0.628319	0.587785
0.785398	0.707107
0.942478	0.809017
1.099557	0.891007
1.256637	0.951057
1.413717	0.987688
1.570796	1.000000
1.727876	0.987688
1.884956	0.951057
2.042035	0.891007
2.199115	0.809017
2.356194	0.707107
2.513274	0.587785
2.670354	0.453990
2.827433	0.309017
2.984513	0.156434
3.141593	0.000000
3.298672	-0.156434
3.455752	-0.309017
3.612832	-0.453990
3.769911	-0.587785
3.926991	-0.707107
4.084070	-0.809017
4.241150	-0.891007
4.398230	-0.951057
4.555309	-0.987688
4.712389	-1.000000
4.869469	-0.987688
5.026548	-0.951057
5.183628	-0.891007
5.340708	-0.809017
5.497787	-0.707107
5.654867	-0.587785
5.811946	-0.453990
5.969026	-0.309017
6.126106	-0.156434
6.283185	-0.000000
