0.000000	0.000000
0.158833	0.150813
0.311398	0.310587
0.480621	0.435462
0.603956	0.575399
0.774775	0.725441
0.928899	0.781135
1.145015	0.850919
1.241463	0.947452
1.389817	0.994264
1.500939	1.011400
1.779649	1.024932
1.823245	0.957651
2.049266	0.869149
2.289393	0.775141
2.305530	0.674544
2.426321	0.573799
2.764208	0.444018
2.710088	0.294650
2.966204	0.158938
3.149771	0.000000
3.161961	-0.162909
3.506093	-0.312695
3.579498	-0.465476
3.855599	-0.609439
3.917380	-0.704215
4.027774	-0.785354
4.068009	-0.897522
4.316618	-0.948751
4.649558	-0.988598
4.754858	-1.029298
4.925150	-0.962209
5.207232	-0.932813
5.224250	-0.881131
5.220866	-0.845200
5.503940	-0.698233
5.607748	-0.610872
5.767182	-0.474309
5.887511	-0.304217
5.996296	-0.152497
6.319013	0.000000
